unique_id,street,city,state,zip
LIHTC_CENSUS_0238,125 S HOUSTON ST,ADRIAN,MO,64720
LIHTC_CENSUS_0239,8520 MACKENZIE RD,AFFTON,MO,63123
LIHTC_CENSUS_0240,4302 1/2 OAKWOOD AVE,ST LOUIS,MO,63121
LIHTC_CENSUS_0241,6053 1/2 GRIMSHAW AVE,ST LOUIS,MO,63120
LIHTC_CENSUS_0242,1115 SECOND STREET,BEAUMONT,MS,39423
LIHTC_CENSUS_0243,101 KING RANCH CIRCLE,CANTON,MS,39046
LIHTC_CENSUS_0244,900 W CANAL STREET,ABERDEEN,MS,39730
LIHTC_CENSUS_0245,162 W CHERRY ST,ACKERMAN,MS,39735
LIHTC_CENSUS_0246,121 WEAST AVENUE,ABSAROKEE,MT,59001
LIHTC_CENSUS_0247,107 LUMPRY ROAD,ARLEE,MT,59821
LIHTC_CENSUS_0248,215 E PENNSYLVANIA AVE,ANACONDA,MT,59711
LIHTC_CENSUS_0249,1006 CARDINAL DR,BELGRADE,MT,59714
LIHTC_CENSUS_0250,335 - 349 SIOUX LANE,BILLINGS,MT,59101
LIHTC_CENSUS_0251,312 - 314 COURTYARDS CIRCLE,CORVALLIS,MT,59828
LIHTC_CENSUS_0252,1427 1/2 FOURTH ST,HAVRE,MT,59501
LIHTC_CENSUS_0253,700 MAGNOLIA DRIVE,ABERDEEN,NC,28315
LIHTC_CENSUS_0254,100 CYPRESS COURT,AHOSKIE,NC,27910
LIHTC_CENSUS_0255,1000 BRADFORD DRIVE,ABERDEEN,NC,28315
LIHTC_CENSUS_0256,1100 BRADFORD DRIVE,ABERDEEN,NC,28315
LIHTC_CENSUS_0257,400 SUNSET ST W,AHOSKIE,NC,27910
LIHTC_CENSUS_0258,1911 MIDWOOD DR,ALBEMARLE,NC,28001
LIHTC_CENSUS_0259,156 E ACADEMY STREET,ASHEBORO,NC,27203
LIHTC_CENSUS_0260,2100 BAREFOOT PARK LN,WILSON,NC,27893
LIHTC_CENSUS_0261,2102 BAREFOOT PARK LN,WILSON,NC,27893
LIHTC_CENSUS_0262,1210 KIANA LN,FAYETTEVILLE,NC,28314
LIHTC_CENSUS_0263,1211 KIANA LN,FAYETTEVILLE,NC,28314
LIHTC_CENSUS_0264,2585 DAKOTA BLVD,ABERCROMBIE,ND,58601
LIHTC_CENSUS_0265,100 WEST MAIN STREET,BISMARCK,ND,58501
LIHTC_CENSUS_0266,110 EDUCATION LANE NE,BELCOURT,ND,58316
LIHTC_CENSUS_0267,205 SECOND ST NW,BEULAH,ND,58523
LIHTC_CENSUS_0268,3020 18TH STREET,COLUMBUS,NE,68601
LIHTC_CENSUS_0269,1600 KNOX STREET,LINCOLN,NE,68521
LIHTC_CENSUS_0270,1814 BINNEY ST,OMAHA,NE,68110
LIHTC_CENSUS_0271,1821 BINNEY ST,OMAHA,NE,68810
LIHTC_CENSUS_0272,717 S A ST,ALBION,NE,68620
LIHTC_CENSUS_0273,611 SATURN ST,ALDA,NE,68810
LIHTC_CENSUS_0274,2854 ANGELS SHARE DRIVE,BLAIR,NE,68008
LIHTC_CENSUS_0275,2876 ANGELS SHARE DRIVE,BLAIR,NE,68008
LIHTC_CENSUS_0276,155 MAYNESBORO STREET,BERLIN,NH,03570
LIHTC_CENSUS_0277,2506 MAIN STREET,BETHLEHEM,NH,03574
LIHTC_CENSUS_0278,6 AIKEN ST,ANTRIM,NH,03440
LIHTC_CENSUS_0279,24 LEDGEWOOD LANE,ASHLAND,NH,03217
LIHTC_CENSUS_0280,49 PLEASANT ST,ALSTEAD,NH,03602
LIHTC_CENSUS_0281,2 VETERANS RD,AMHERST,NH,03031
LIHTC_CENSUS_0282,145 CLIFFWOOD AVENUE,ABERDEEN TWP,NJ,07721
LIHTC_CENSUS_0283,100 LECHNER CIR,ANNANDALE,NJ,08801
LIHTC_CENSUS_0284,200 GLASSWORKS BLVD,ABERDEEN,NJ,07721
LIHTC_CENSUS_0285,202 GLASSWORKS BLVD,ABERDEEN,NJ,07721
LIHTC_CENSUS_0286,1228 MONROE AVENUE,ASBURY PARK,NJ,07712
LIHTC_CENSUS_0287,1284 WASHINGTON AVENUE,ASBURY PARK,NJ,07712
LIHTC_CENSUS_0288,1012 SPRINGWOOD AVENUE,ASBURY PARK,NJ,07712
LIHTC_CENSUS_0289,1100 SPRINGWOOD AVENUE,ASBURY PARK,NJ,07712
LIHTC_CENSUS_0290,1503 1/2 SEWALL AVENUE,ASBURY PARK CITY,NJ,07712
LIHTC_CENSUS_0291,1400 - 1414 BROOKS COURT,ATLANTIC CITY,NJ,08401
LIHTC_CENSUS_0292,5710 AVALON ROAD NW,ALBUQUERQUE,NM,87105
LIHTC_CENSUS_0293,9901 CEJA VISTA ROAD SW,ALBUQUERQUE,NM,87121
LIHTC_CENSUS_0294,710 HUECO STREET,CARLSBAD,NM,88220
LIHTC_CENSUS_0295,7810 PASEO DRIVE 550 NE,RIO RANCHO,NM,87144
LIHTC_CENSUS_0296,1709 13TH ST,ALAMOGORDO,NM,88310
LIHTC_CENSUS_0297,2400 FIRST ST,ALAMOGORDO,NM,88310
LIHTC_CENSUS_0298,1225 SOUTH CROWELL AVENUE,BEATTY,NV,89003
LIHTC_CENSUS_0299,123 BOGUS AVE,CARSON CITY,NV,89701
LIHTC_CENSUS_0300,453 ELQUIST DRIVE,BATTLE MOUNTAIN,NV,89820
LIHTC_CENSUS_0301,1150 E LONG ST,CARSON CITY,NV,89706
LIHTC_CENSUS_0302,20 WESTGATE AVE EXT,AKRON,NY,14001
LIHTC_CENSUS_0303,221 SHERIDAN AVENUE,ALBANY,NY,12210
LIHTC_CENSUS_0304,21 WESTGATE AVE EXT,AKRON,NY,14001
LIHTC_CENSUS_0305,22 WESTGATE AVE EXT,AKRON,NY,14001
LIHTC_CENSUS_0306,60 DE BAUN AVE,AIRMONT,NY,10901
LIHTC_CENSUS_0307,10 MORRIS STREET,ALBANY,NY,12208
LIHTC_CENSUS_0308,2646 2ND ST,ASTORIA,NY,11102
LIHTC_CENSUS_0309,4439 THIRD AVENUE,BRONX,NY,10457
LIHTC_CENSUS_0310,4511 THIRD AVENUE,BRONX,NY,10457
LIHTC_CENSUS_0311,1 LYDUN DRIVE EXT,ALBION,NY,14411
LIHTC_CENSUS_0312,3 LYDUN DRIVE EXT,ALBION,NY,14411
LIHTC_CENSUS_0313,172 1/2 S MAIN ST,BATAVIA,NY,14020
LIHTC_CENSUS_0314,1775 -1785 WALTON AVENUE,BRONX,NY,10453
LIHTC_CENSUS_0315,681 MOORE RD,AKRON,OH,44319
LIHTC_CENSUS_0316,953 EAST MARKET STREET,AKRON,OH,44305
LIHTC_CENSUS_0317,474 NORTH MAIN STREET,AKRON,OH,44310
LIHTC_CENSUS_0318,67 OLIVE STREET,AKRON,OH,44310
LIHTC_CENSUS_0319,126 W N AVE,ADA,OH,45810
LIHTC_CENSUS_0320,401 W LIMA AVE,ADA,OH,45810
LIHTC_CENSUS_0321,1316 MCARTHUR AVE,DAYTON,OH,45417
LIHTC_CENSUS_0322,1440 MCARTHUR AVE,DAYTON,OH,45417
LIHTC_CENSUS_0323,1347 1/2 ALBERT ST,YOUNGSTOWN,OH,44505
LIHTC_CENSUS_0324,1175 SERENITY LOOP,ARDMORE,OK,73401
LIHTC_CENSUS_0325,606 HIGHLAND DRIVE,BARTLESVILLE,OK,74003
LIHTC_CENSUS_0326,1100 KERR LAB RD,ADA,OK,74820
LIHTC_CENSUS_0327,1301 N OAK AVE,ADA,OK,74820
